"Time [ms]","L(PhaseA,PhaseA) [mH]","Moving1.Torque [mNewtonMeter]"
8.3,34.5062035915613,-0.241818068183231
8.4,34.5086476591306,0.521837146052484
8.5,34.5320664311946,1.26778034242044
8.6,34.580455393555,2.02853754653168
8.7,34.6308331432068,2.635432988242
8.8,34.7026303993386,3.27068170070283
8.9,34.7934037993153,3.91911793482844
9,34.9046551601,4.69373165733653
9.1,35.0325614940305,5.43651167944732
9.2,35.1817912960838,6.17312429576272
9.3,35.343086143997,6.93882714109239
9.4,35.5297971500938,7.80795385707322
9.5,35.7381967664557,8.76765289006185
9.6,35.9739136582365,9.8399493460822
9.7,36.2502284311779,11.0449059235722
9.8,36.5266889977216,11.975868737151
9.9,36.8334090171518,12.9509027933185
10,37.1752766606158,13.9898053511664
10.1,37.5482813179209,15.486804149428
10.2,37.9620079161717,16.960064569635
10.3,38.4131532171715,18.4013652797847
10.4,38.8787607415105,19.7281313286969
10.5,39.3973358311884,21.4368172682508
10.6,39.9675497232643,23.6464832355341
10.7,40.6017130095513,26.337966314023
10.8,41.3538792368001,29.86217623232
10.9,42.1064200985705,32.6204751577189
11,42.9168996964532,35.3810416524017
11.1,43.8692246792883,38.922252190725
11.2,44.922051159627,44.5504422969845
11.3,46.1549780723928,52.4113084846003
11.4,47.5965408248905,60.7194248746634
11.5,49.2185491591932,69.6329271035312
11.6,51.1238931348673,81.6048233493601
11.7,53.385891556968,97.61711603354
11.8,56.2403317316206,121.938771167183
11.9,59.8472571382756,154.862949041431
12,63.6689479292799,178.56999384139
12.1,67.9548404338177,187.313853308361
12.2,72.9731466218346,188.652477474786
12.3,77.927801255593,193.994490862829
12.4,83.2887336769849,217.418774825806
12.5,88.9020168679464,227.733293392904
12.6,94.7215585467218,222.019971614926
12.7,100.272436772342,208.4370506196
12.8,105.462359190989,201.68853004963
12.9,110.640430580761,205.685397356442
13,115.85432350142,220.881458338466
13.1,121.417496961122,233.072072409235
13.2,127.099005295974,223.993460360004
13.3,132.858289140691,202.406653316772
13.4,137.968206009855,187.251302726691
13.5,143.114795402715,204.394964936773
13.6,148.490649071319,220.619703560764
13.7,154.105461233453,217.493471478671
13.8,159.577047635561,206.57922239111
13.9,164.719263593452,198.930341218841
14,169.814424007074,202.138217655826
14.1,175.057082492878,217.683580228686
14.2,180.484083004162,230.206716519454
14.3,186.065281144648,223.454729648577
14.4,191.784446108922,202.549665429743
14.5,196.947044527818,185.393520518294
14.6,202.000029061022,200.000733670604
14.7,207.341922901927,219.647905465484
14.8,212.909794106866,217.850583979983
14.9,218.390578467594,206.312876581493
15,223.487618222677,197.631540974293
15.1,228.567025054075,197.487692957999
15.2,233.676157714637,209.585373826061
15.3,238.994253017414,222.196613766294
15.4,244.329875234762,216.811550678247
15.5,249.819544177651,199.8649137864
15.6,254.950664610748,184.814364329367
15.7,259.89449789923,196.021444036326
15.8,265.174523877635,216.025664020064
15.9,270.616708017964,214.226498428132
16,276.001446533572,202.857582247576
16.1,281.067643082565,194.623584492937
16.2,286.083424769688,193.720794756295
16.3,291.11965781741,207.31327262792
16.4,296.375827923126,222.046188936287
16.5,301.724122416787,219.364003397873
16.6,307.252682112863,201.691751114837
16.7,312.445207408465,182.761576800672
16.8,317.196768642595,186.091105472573
16.9,322.30341855832,210.029405318412
17,327.580272742542,209.128137326343
17.1,332.876816197151,198.711513708439
17.2,337.839441191736,189.534118600835
17.3,342.697387515628,188.110987289392
17.4,347.585449094982,200.234310448863
17.5,352.682738956545,217.109254445518
17.6,357.872822038823,215.841083800406
17.7,363.264655885566,197.238464717854
17.8,368.362083265766,175.909267541127
17.9,372.867747398161,179.479294447778
18,377.917836267773,209.79476321432
18.1,383.229828139706,211.951461114826
18.2,388.569654845729,199.275481878962
18.3,393.515118811878,187.801080695224
18.4,398.299962710548,183.715038257385
18.5,402.993422398232,187.657880601173
18.6,407.810182198089,199.2999405458
18.7,412.621329793672,202.59442440961
18.8,417.651715458188,189.544735328095
18.9,422.592279664229,170.938677709858
19,426.892774184283,170.214943855093
19.1,431.770816259639,196.560931513533
19.2,436.796435031624,199.461027028261
19.3,441.799778453474,188.594487787416
19.4,446.484283654244,176.256747432067
19.5,450.916186480848,169.469990832387
19.6,455.243445527175,172.675030231971
19.7,459.529622736102,180.694737431274
19.8,463.884131801507,180.987163989599
19.9,468.385461620827,160.094252762174
20,472.316406452874,123.988102947684
20.1,475.030105433432,89.9447943947982
20.2,477.550651561132,86.7699245892007
20.3,479.493403135941,72.0073965968153
20.4,481.090524044377,52.141984870698
20.5,482.242510709381,33.8463666129947
20.6,482.893492372101,20.1338997663147
20.7,483.282534260795,9.27334524767728
20.8,483.388338033497,0.236922609575618
